Netherlands
Conversation ID,Entry ID,Actor,Original Text,Translated Text [Netherlands],Original Menu,Translated Menu [Netherlands],Description
1,0,Player,,,,,
1,1,Robot,Brrrrrt .....,Brrrrrt .....,,,
1,2,Player,Maybe i can find something to repair that robot ?,Misschien kan ik iets vinden om die robot te repareren?,,,
1,4,Player,Drag and drop the circuit board from the inventory to the robot.,Sleep de printplaat uit de inventaris naar de robot.,,,
2,0,Player,,,,,
2,1,Player,This circuit board doesn't look too bad.,Deze printplaat ziet er niet slecht uit...,,,
2,2,Player,I should be able to repair that robot with it.,Ik zou die robot ermee moeten kunnen repareren.,,,
2,3,Player,Drag and drop the circuit board from the inventory to the robot.,Sleep de printplaat uit de inventaris naar de robot.,,,
3,0,Player,,,,,
3,1,Player,The year is 2033,We zijn in het jaar 2033,,,
3,2,Player,,,,,
4,0,Player,,,,,
4,18,Player,Yes it fits !,Ja het past !,,,
4,19,Robot,Bip Boup,Bip Boup,,,
4,20,Robot,"Thanks for fixing me, i'm AILA, the Artificial Intelligence Lab Assistance","Bedankt voor de reparatie, ik ben AILA, de Artificial Intelligence Lab Assistance",,,
4,21,Robot,"You look like you're new, i'll walk you through the lab.","Je ziet eruit alsof je nieuw bent, ik zal je door het lab leiden",,,
4,22,Robot,"What is this mess ? It's been 10 years at least since the last entry in my log, and the lab is completely ruined !","Wat is dit voor rommel? Het is minstens 10 jaar geleden sinds het laatste bericht in mijn logboek, en het lab is volledig geruïneerd!",,,
4,23,Robot,"It's going to take me weeks to clean all this up.. Follow me, i'll guide you through the laboratory.","Het gaat me weken kosten om dit allemaal op te ruimen... Volg me, ik leid je door het laboratorium..",,,
4,24,Player,No problemo !,No problemo !,,,
4,25,Robot,But I didn't ask you your name and what you were doing here?,"Maar, ik heb niet eens je naam  gevraagd en wat je hier doet?",,,
4,26,Robot,What is a strange human like you doing in this abandoned laboratory with a beautiful robot like me?,Wat doet een vreemd mens als jij in dit verlaten laboratorium met een mooie robot als ik?,,,
